UF;Cod_Infracao;Quantidade
CEARA;5088;7
DISTRITO FEDERAL;5088;4
ESPIRITO SANTO;5088;1
GOIAS;5088;7
MATO GROSSO;5088;2
MATO GROSSO DO SUL;5088;1
MINAS GERAIS;5088;10
PARA;5088;3
PARANA;5088;2
PERNAMBUCO;5088;1
PIAUI;5088;2
RIO DE JANEIRO;5088;8
RIO GRANDE DO SUL;5088;32
RONDONIA;5088;2
SANTA CATARINA;5088;5
SAO PAULO;5088;23
ACRE;5096;3
AMAZONAS;5096;4
AMAPA;5096;2
BAHIA;5096;31
CEARA;5096;74
DISTRITO FEDERAL;5096;17
ESPIRITO SANTO;5096;8
GOIAS;5096;10
MARANHAO;5096;3
MATO GROSSO;5096;3
MATO GROSSO DO SUL;5096;6
MINAS GERAIS;5096;22
PARA;5096;5
PARAIBA;5096;6
PARANA;5096;25
PERNAMBUCO;5096;11
PIAUI;5096;5
RIO DE JANEIRO;5096;5
RIO GRANDE DO NORTE;5096;3
RIO GRANDE DO SUL;5096;190
RONDONIA;5096;8
RORAIMA;5096;1
SANTA CATARINA;5096;37
SAO PAULO;5096;102
SERGIPE;5096;2
TOCANTINS;5096;4
AMAZONAS;5100;1
BAHIA;5100;2
CEARA;5100;26
ESPIRITO SANTO;5100;2
GOIAS;5100;1
MARANHAO;5100;1
MINAS GERAIS;5100;3
PARA;5100;1
PARANA;5100;3
PERNAMBUCO;5100;1
PIAUI;5100;1
RIO DE JANEIRO;5100;2
RIO GRANDE DO NORTE;5100;3
RIO GRANDE DO SUL;5100;2
RONDONIA;5100;1
SANTA CATARINA;5100;2
SAO PAULO;5100;2
ACRE;5118;242
ALAGOAS;5118;91
AMAZONAS;5118;138
AMAPA;5118;135
BAHIA;5118;453
CEARA;5118;1090
DISTRITO FEDERAL;5118;183
ESPIRITO SANTO;5118;585
GOIAS;5118;164
MARANHAO;5118;114
MATO GROSSO;5118;139
MATO GROSSO DO SUL;5118;404
MINAS GERAIS;5118;1510
PARA;5118;267
PARAIBA;5118;222
PARANA;5118;1454
PERNAMBUCO;5118;460
PIAUI;5118;119
RIO DE JANEIRO;5118;554
RIO GRANDE DO NORTE;5118;195
RIO GRANDE DO SUL;5118;1432
RONDONIA;5118;405
RORAIMA;5118;32
SANTA CATARINA;5118;976
SAO PAULO;5118;2727
SERGIPE;5118;112
TOCANTINS;5118;37
ACRE;5126;2
AMAZONAS;5126;3
BAHIA;5126;5
CEARA;5126;8
DISTRITO FEDERAL;5126;1
ESPIRITO SANTO;5126;33
GOIAS;5126;5
MATO GROSSO;5126;3
MATO GROSSO DO SUL;5126;9
MINAS GERAIS;5126;46
PARAIBA;5126;7
PARANA;5126;63
PERNAMBUCO;5126;2
RIO DE JANEIRO;5126;16
RIO GRANDE DO SUL;5126;89
RONDONIA;5126;4
SANTA CATARINA;5126;112
SAO PAULO;5126;75
ACRE;5134;4
ALAGOAS;5134;12
AMAZONAS;5134;5
AMAPA;5134;4
BAHIA;5134;23
CEARA;5134;61
DISTRITO FEDERAL;5134;8
ESPIRITO SANTO;5134;29
GOIAS;5134;26
MARANHAO;5134;5
MATO GROSSO;5134;4
MATO GROSSO DO SUL;5134;18
MINAS GERAIS;5134;97
PARA;5134;9
PARAIBA;5134;11
PARANA;5134;48
PERNAMBUCO;5134;17
PIAUI;5134;6
RIO DE JANEIRO;5134;34
RIO GRANDE DO NORTE;5134;7
RIO GRANDE DO SUL;5134;103
RONDONIA;5134;5
SANTA CATARINA;5134;24
SAO PAULO;5134;149
SERGIPE;5134;5
ACRE;5142;52
ALAGOAS;5142;11
AMAZONAS;5142;15
AMAPA;5142;33
BAHIA;5142;143
CEARA;5142;478
DISTRITO FEDERAL;5142;36
ESPIRITO SANTO;5142;84
GOIAS;5142;61
MARANHAO;5142;24
MATO GROSSO;5142;17
MATO GROSSO DO SUL;5142;63
MINAS GERAIS;5142;263
PARA;5142;25
PARAIBA;5142;35
PARANA;5142;217
PERNAMBUCO;5142;82
PIAUI;5142;19
RIO DE JANEIRO;5142;72
RIO GRANDE DO NORTE;5142;39
RIO GRANDE DO SUL;5142;300
RONDONIA;5142;67
RORAIMA;5142;5
SANTA CATARINA;5142;201
SAO PAULO;5142;845
SERGIPE;5142;35
TOCANTINS;5142;4
ACRE;5150;2
ALAGOAS;5150;2
AMAZONAS;5150;2
AMAPA;5150;1
BAHIA;5150;10
CEARA;5150;121
DISTRITO FEDERAL;5150;3
ESPIRITO SANTO;5150;4
GOIAS;5150;11
MARANHAO;5150;2
MATO GROSSO;5150;1
MATO GROSSO DO SUL;5150;2
MINAS GERAIS;5150;34
PARA;5150;1
PARAIBA;5150;7
PARANA;5150;7
PERNAMBUCO;5150;18
PIAUI;5150;4
RIO DE JANEIRO;5150;9
RIO GRANDE DO NORTE;5150;18
RIO GRANDE DO SUL;5150;28
RONDONIA;5150;1
RORAIMA;5150;2
SANTA CATARINA;5150;16
SAO PAULO;5150;36
SERGIPE;5150;5
ACRE;5169;1292
ALAGOAS;5169;22
AMAZONAS;5169;144
AMAPA;5169;53
BAHIA;5169;71
CEARA;5169;62
DISTRITO FEDERAL;5169;359
ESPIRITO SANTO;5169;111
GOIAS;5169;334
MARANHAO;5169;64
MATO GROSSO;5169;633
MATO GROSSO DO SUL;5169;186
MINAS GERAIS;5169;2553
PARA;5169;212
PARAIBA;5169;59
PARANA;5169;618
PERNAMBUCO;5169;205
PIAUI;5169;41
RIO DE JANEIRO;5169;82
RIO GRANDE DO NORTE;5169;131
RIO GRANDE DO SUL;5169;380
RONDONIA;5169;429
RORAIMA;5169;11
SANTA CATARINA;5169;260
SAO PAULO;5169;1309
SERGIPE;5169;38
TOCANTINS;5169;18
ACRE;5177;9
AMAZONAS;5177;2
BAHIA;5177;4
CEARA;5177;3
DISTRITO FEDERAL;5177;6
GOIAS;5177;6
MATO GROSSO;5177;5
MATO GROSSO DO SUL;5177;8
MINAS GERAIS;5177;79
PARA;5177;2
PARAIBA;5177;1
PARANA;5177;26
PERNAMBUCO;5177;3
RIO DE JANEIRO;5177;1
RIO GRANDE DO NORTE;5177;1
RIO GRANDE DO SUL;5177;27
RONDONIA;5177;1
SANTA CATARINA;5177;8
SAO PAULO;5177;35
ACRE;5185;326
ALAGOAS;5185;1369
AMAZONAS;5185;6167
AMAPA;5185;360
BAHIA;5185;5788
CEARA;5185;3433
DISTRITO FEDERAL;5185;18084
ESPIRITO SANTO;5185;2486
GOIAS;5185;9080
MARANHAO;5185;1839
MATO GROSSO;5185;4549
MATO GROSSO DO SUL;5185;2830
MINAS GERAIS;5185;17281
PARA;5185;2232
PARAIBA;5185;3792
PARANA;5185;13633
PERNAMBUCO;5185;2738
PIAUI;5185;1139
RIO DE JANEIRO;5185;7400
RIO GRANDE DO NORTE;5185;1894
RIO GRANDE DO SUL;5185;8672
RONDONIA;5185;1196
RORAIMA;5185;241
SANTA CATARINA;5185;10203
SAO PAULO;5185;90121
SERGIPE;5185;356
TOCANTINS;5185;454
ACRE;5193;62
ALAGOAS;5193;74
AMAZONAS;5193;171
AMAPA;5193;73
BAHIA;5193;431
CEARA;5193;423
DISTRITO FEDERAL;5193;672
ESPIRITO SANTO;5193;239
GOIAS;5193;479
MARANHAO;5193;248
MATO GROSSO;5193;490
MATO GROSSO DO SUL;5193;293
MINAS GERAIS;5193;1144
PARA;5193;306
PARAIBA;5193;212
PARANA;5193;1726
PERNAMBUCO;5193;276
PIAUI;5193;107
RIO DE JANEIRO;5193;567
RIO GRANDE DO NORTE;5193;175
RIO GRANDE DO SUL;5193;863
RONDONIA;5193;220
RORAIMA;5193;40
SANTA CATARINA;5193;625
SAO PAULO;5193;3743
SERGIPE;5193;50
TOCANTINS;5193;70
ACRE;5207;159
ALAGOAS;5207;75
AMAZONAS;5207;44
AMAPA;5207;4
BAHIA;5207;326
CEARA;5207;112
DISTRITO FEDERAL;5207;534
ESPIRITO SANTO;5207;104
GOIAS;5207;545
MARANHAO;5207;50
MATO GROSSO;5207;129
MATO GROSSO DO SUL;5207;73
MINAS GERAIS;5207;705
PARA;5207;44
PARAIBA;5207;92
PARANA;5207;355
PERNAMBUCO;5207;190
PIAUI;5207;24
RIO DE JANEIRO;5207;189
RIO GRANDE DO NORTE;5207;239
RIO GRANDE DO SUL;5207;277
RONDONIA;5207;107
RORAIMA;5207;2
SANTA CATARINA;5207;429
SAO PAULO;5207;3503
SERGIPE;5207;38
TOCANTINS;5207;10
ACRE;5215;111
ALAGOAS;5215;36
AMAZONAS;5215;63
BAHIA;5215;128
CEARA;5215;46
DISTRITO FEDERAL;5215;35
ESPIRITO SANTO;5215;18
GOIAS;5215;115
MARANHAO;5215;26
MATO GROSSO;5215;25
MATO GROSSO DO SUL;5215;14
MINAS GERAIS;5215;261
PARA;5215;73
PARAIBA;5215;32
PARANA;5215;117
PERNAMBUCO;5215;42
PIAUI;5215;8
RIO DE JANEIRO;5215;180
RIO GRANDE DO NORTE;5215;23
RIO GRANDE DO SUL;5215;68
RONDONIA;5215;31
RORAIMA;5215;3
SANTA CATARINA;5215;85
SAO PAULO;5215;1177
SERGIPE;5215;3
TOCANTINS;5215;1
ACRE;5223;1
ALAGOAS;5223;1
BAHIA;5223;2
CEARA;5223;2
DISTRITO FEDERAL;5223;2
ESPIRITO SANTO;5223;4
GOIAS;5223;3
MARANHAO;5223;1
MATO GROSSO DO SUL;5223;1
MINAS GERAIS;5223;6
PARA;5223;1
PARAIBA;5223;1
PARANA;5223;2
PERNAMBUCO;5223;3
PIAUI;5223;1
RIO DE JANEIRO;5223;2
RIO GRANDE DO SUL;5223;1
RONDONIA;5223;1
SANTA CATARINA;5223;3
SAO PAULO;5223;16
ACRE;5231;7
ALAGOAS;5231;5
AMAZONAS;5231;1
AMAPA;5231;1
BAHIA;5231;8
CEARA;5231;3
DISTRITO FEDERAL;5231;61
ESPIRITO SANTO;5231;7
GOIAS;5231;52
MARANHAO;5231;1
MATO GROSSO;5231;4
MATO GROSSO DO SUL;5231;7
MINAS GERAIS;5231;54
PARA;5231;6
PARAIBA;5231;6
PARANA;5231;76
PERNAMBUCO;5231;5
PIAUI;5231;3
RIO DE JANEIRO;5231;21
RIO GRANDE DO NORTE;5231;3
RIO GRANDE DO SUL;5231;19
RONDONIA;5231;1
RORAIMA;5231;1
SANTA CATARINA;5231;62
SAO PAULO;5231;272
SERGIPE;5231;1
ACRE;5240;6
AMAZONAS;5240;2
BAHIA;5240;9
DISTRITO FEDERAL;5240;5
ESPIRITO SANTO;5240;1
GOIAS;5240;4
MARANHAO;5240;4
MATO GROSSO;5240;6
MATO GROSSO DO SUL;5240;1
MINAS GERAIS;5240;5
PARA;5240;6
PARAIBA;5240;1
PARANA;5240;5
PERNAMBUCO;5240;2
RIO DE JANEIRO;5240;2
RIO GRANDE DO SUL;5240;5
SANTA CATARINA;5240;5
SAO PAULO;5240;37
ALAGOAS;5258;3
AMAZONAS;5258;1
AMAPA;5258;1
BAHIA;5258;6
DISTRITO FEDERAL;5258;14
ESPIRITO SANTO;5258;7
GOIAS;5258;76
MARANHAO;5258;1
MATO GROSSO;5258;1
MATO GROSSO DO SUL;5258;1
MINAS GERAIS;5258;54
PARA;5258;6
PARAIBA;5258;2
PARANA;5258;2
PERNAMBUCO;5258;3
RIO DE JANEIRO;5258;12
RIO GRANDE DO SUL;5258;9
RONDONIA;5258;3
RORAIMA;5258;1
SANTA CATARINA;5258;19
SAO PAULO;5258;153
TOCANTINS;5258;1
ACRE;5266;2
ALAGOAS;5266;1
BAHIA;5266;60
CEARA;5266;3
DISTRITO FEDERAL;5266;10
ESPIRITO SANTO;5266;2
GOIAS;5266;16
MARANHAO;5266;1
MATO GROSSO;5266;1
MATO GROSSO DO SUL;5266;2
MINAS GERAIS;5266;14
PARA;5266;3
PARANA;5266;9
PERNAMBUCO;5266;10
PIAUI;5266;1
RIO DE JANEIRO;5266;13
RIO GRANDE DO NORTE;5266;3
RIO GRANDE DO SUL;5266;1
RONDONIA;5266;3
SANTA CATARINA;5266;2
SAO PAULO;5266;111
SERGIPE;5266;2
ACRE;5274;150
ALAGOAS;5274;16
AMAZONAS;5274;27
AMAPA;5274;8
BAHIA;5274;270
CEARA;5274;141
DISTRITO FEDERAL;5274;200
ESPIRITO SANTO;5274;50
GOIAS;5274;336
MARANHAO;5274;33
MATO GROSSO;5274;136
MATO GROSSO DO SUL;5274;62
MINAS GERAIS;5274;503
PARA;5274;36
PARAIBA;5274;38
PARANA;5274;268
PERNAMBUCO;5274;105
PIAUI;5274;19
RIO DE JANEIRO;5274;50
RIO GRANDE DO NORTE;5274;42
RIO GRANDE DO SUL;5274;291
RONDONIA;5274;86
SANTA CATARINA;5274;256
SAO PAULO;5274;1801
SERGIPE;5274;24
TOCANTINS;5274;9
ACRE;5282;28
AMAPA;5282;2
BAHIA;5282;1
CEARA;5282;2
DISTRITO FEDERAL;5282;6
ESPIRITO SANTO;5282;9
GOIAS;5282;8
MATO GROSSO;5282;1
MATO GROSSO DO SUL;5282;4
MINAS GERAIS;5282;36
PARA;5282;1
PARAIBA;5282;5
PARANA;5282;16
PERNAMBUCO;5282;2
PIAUI;5282;1
RIO DE JANEIRO;5282;2
RIO GRANDE DO NORTE;5282;2
RIO GRANDE DO SUL;5282;13
RONDONIA;5282;9
RORAIMA;5282;1
SANTA CATARINA;5282;17
SAO PAULO;5282;18
SERGIPE;5282;3
ACRE;5290;6
AMAPA;5290;1
BAHIA;5290;2
CEARA;5290;2
DISTRITO FEDERAL;5290;3
ESPIRITO SANTO;5290;1
GOIAS;5290;2
MATO GROSSO DO SUL;5290;1
MINAS GERAIS;5290;20
PARAIBA;5290;1
PARANA;5290;2
RIO GRANDE DO NORTE;5290;1
RIO GRANDE DO SUL;5290;6
RONDONIA;5290;1
SANTA CATARINA;5290;10
SAO PAULO;5290;4
SERGIPE;5290;1
ACRE;5304;16
BAHIA;5304;4
DISTRITO FEDERAL;5304;1
ESPIRITO SANTO;5304;2
MATO GROSSO;5304;3
MATO GROSSO DO SUL;5304;2
MINAS GERAIS;5304;11
PARAIBA;5304;2
PARANA;5304;3
RIO DE JANEIRO;5304;1
RIO GRANDE DO NORTE;5304;1
RIO GRANDE DO SUL;5304;5
RONDONIA;5304;2
SANTA CATARINA;5304;9
SAO PAULO;5304;7
BAHIA;5312;3
RIO DE JANEIRO;5312;2
SANTA CATARINA;5312;1
ACRE;5320;3
BAHIA;5320;3
DISTRITO FEDERAL;5320;1
ESPIRITO SANTO;5320;4
GOIAS;5320;4
MATO GROSSO DO SUL;5320;6
MINAS GERAIS;5320;16
PARAIBA;5320;2
PARANA;5320;12
PERNAMBUCO;5320;1
PIAUI;5320;1
RIO DE JANEIRO;5320;1
RIO GRANDE DO NORTE;5320;2
RIO GRANDE DO SUL;5320;4
RONDONIA;5320;1
SANTA CATARINA;5320;14
SAO PAULO;5320;13
DISTRITO FEDERAL;5339;1
GOIAS;5339;2
ALAGOAS;5347;1
AMAPA;5347;1
BAHIA;5347;4
CEARA;5347;3
DISTRITO FEDERAL;5347;18
ESPIRITO SANTO;5347;4
GOIAS;5347;5
MATO GROSSO;5347;2
MATO GROSSO DO SUL;5347;1
MINAS GERAIS;5347;15
PARA;5347;2
PARAIBA;5347;1
PARANA;5347;12
PERNAMBUCO;5347;3
PIAUI;5347;1
RIO GRANDE DO NORTE;5347;1
RIO GRANDE DO SUL;5347;27
SANTA CATARINA;5347;15
SAO PAULO;5347;19
TOCANTINS;5347;2
GOIAS;5355;1
MATO GROSSO;5355;1
MATO GROSSO DO SUL;5355;1
MINAS GERAIS;5355;2
PIAUI;5355;1
RIO DE JANEIRO;5355;2
RIO GRANDE DO SUL;5355;2
SANTA CATARINA;5355;1
SAO PAULO;5355;3
ALAGOAS;5363;1
BAHIA;5363;1
GOIAS;5363;2
MATO GROSSO DO SUL;5363;1
MINAS GERAIS;5363;1
PARA;5363;1
PARANA;5363;1
PERNAMBUCO;5363;1
RIO DE JANEIRO;5363;1
RIO GRANDE DO SUL;5363;1
SAO PAULO;5363;4
SERGIPE;5363;1
TOCANTINS;5363;1
ACRE;5371;3
ALAGOAS;5371;2
AMAZONAS;5371;6
AMAPA;5371;1
BAHIA;5371;9
CEARA;5371;5
DISTRITO FEDERAL;5371;25
ESPIRITO SANTO;5371;4
GOIAS;5371;11
MARANHAO;5371;3
MATO GROSSO;5371;2
MATO GROSSO DO SUL;5371;2
MINAS GERAIS;5371;24
PARA;5371;3
PARAIBA;5371;1
PARANA;5371;12
PERNAMBUCO;5371;5
PIAUI;5371;1
RIO DE JANEIRO;5371;7
RIO GRANDE DO SUL;5371;13
RONDONIA;5371;3
RORAIMA;5371;2
SANTA CATARINA;5371;14
SAO PAULO;5371;141
ACRE;5380;69
ALAGOAS;5380;137
AMAZONAS;5380;202
AMAPA;5380;7
BAHIA;5380;406
CEARA;5380;1129
DISTRITO FEDERAL;5380;760
ESPIRITO SANTO;5380;114
GOIAS;5380;2226
MARANHAO;5380;480
MATO GROSSO;5380;286
MATO GROSSO DO SUL;5380;70
MINAS GERAIS;5380;636
PARA;5380;166
PARAIBA;5380;139
PARANA;5380;324
PERNAMBUCO;5380;361
PIAUI;5380;104
RIO DE JANEIRO;5380;811
RIO GRANDE DO NORTE;5380;250
RIO GRANDE DO SUL;5380;161
RONDONIA;5380;38
RORAIMA;5380;12
SANTA CATARINA;5380;225
SAO PAULO;5380;2549
SERGIPE;5380;13
TOCANTINS;5380;31
ACRE;5398;16
ALAGOAS;5398;5
AMAZONAS;5398;9
AMAPA;5398;1
BAHIA;5398;30
CEARA;5398;29
DISTRITO FEDERAL;5398;20
ESPIRITO SANTO;5398;10
GOIAS;5398;41
MARANHAO;5398;12
MATO GROSSO;5398;5
MATO GROSSO DO SUL;5398;9
MINAS GERAIS;5398;53
PARA;5398;4
PARAIBA;5398;9
PARANA;5398;32
PERNAMBUCO;5398;11
PIAUI;5398;2
RIO DE JANEIRO;5398;19
RIO GRANDE DO NORTE;5398;21
RIO GRANDE DO SUL;5398;38
RONDONIA;5398;6
RORAIMA;5398;1
SANTA CATARINA;5398;17
SAO PAULO;5398;133
TOCANTINS;5398;2
ACRE;5401;14
ALAGOAS;5401;25
AMAZONAS;5401;36
AMAPA;5401;22
BAHIA;5401;125
CEARA;5401;271
DISTRITO FEDERAL;5401;61
ESPIRITO SANTO;5401;32
GOIAS;5401;107
MARANHAO;5401;37
MATO GROSSO;5401;8
MATO GROSSO DO SUL;5401;10
MINAS GERAIS;5401;137
PARA;5401;29
PARAIBA;5401;61
PARANA;5401;42
PERNAMBUCO;5401;23
PIAUI;5401;12
RIO DE JANEIRO;5401;28
RIO GRANDE DO NORTE;5401;88
RIO GRANDE DO SUL;5401;65
RONDONIA;5401;11
RORAIMA;5401;2
SANTA CATARINA;5401;37
SAO PAULO;5401;280
SERGIPE;5401;8
TOCANTINS;5401;3
ACRE;5410;19
ALAGOAS;5410;41
AMAZONAS;5410;94
AMAPA;5410;6
BAHIA;5410;811
CEARA;5410;1092
DISTRITO FEDERAL;5410;5360
ESPIRITO SANTO;5410;85
GOIAS;5410;704
MARANHAO;5410;113
MATO GROSSO;5410;51
MATO GROSSO DO SUL;5410;52
MINAS GERAIS;5410;463
PARA;5410;169
PARAIBA;5410;53
PARANA;5410;192
PERNAMBUCO;5410;92
PIAUI;5410;61
RIO DE JANEIRO;5410;441
RIO GRANDE DO NORTE;5410;242
RIO GRANDE DO SUL;5410;45
RONDONIA;5410;67
RORAIMA;5410;24
SANTA CATARINA;5410;101
SAO PAULO;5410;409
SERGIPE;5410;18
TOCANTINS;5410;28
ACRE;5428;5
ALAGOAS;5428;5
AMAZONAS;5428;32
AMAPA;5428;11
BAHIA;5428;71
CEARA;5428;46
DISTRITO FEDERAL;5428;153
ESPIRITO SANTO;5428;79
GOIAS;5428;48
MARANHAO;5428;28
MATO GROSSO;5428;29
MATO GROSSO DO SUL;5428;33
MINAS GERAIS;5428;201
PARA;5428;63
PARAIBA;5428;36
PARANA;5428;156
PERNAMBUCO;5428;150
PIAUI;5428;54
RIO DE JANEIRO;5428;244
RIO GRANDE DO NORTE;5428;83
RIO GRANDE DO SUL;5428;93
RONDONIA;5428;31
RORAIMA;5428;9
SANTA CATARINA;5428;190
SAO PAULO;5428;280
SERGIPE;5428;8
TOCANTINS;5428;9
ALAGOAS;5436;1
AMAZONAS;5436;4
CEARA;5436;1
DISTRITO FEDERAL;5436;50
ESPIRITO SANTO;5436;5
GOIAS;5436;9
MATO GROSSO;5436;2
MATO GROSSO DO SUL;5436;12
MINAS GERAIS;5436;43
PARANA;5436;6
PERNAMBUCO;5436;1
RIO DE JANEIRO;5436;13
RIO GRANDE DO SUL;5436;3
RONDONIA;5436;1
SANTA CATARINA;5436;7
SAO PAULO;5436;22
TOCANTINS;5436;2
ACRE;5444;1
ALAGOAS;5444;9
AMAZONAS;5444;2
AMAPA;5444;1
BAHIA;5444;53
CEARA;5444;91
DISTRITO FEDERAL;5444;35
ESPIRITO SANTO;5444;11
GOIAS;5444;50
MARANHAO;5444;29
MATO GROSSO;5444;10
MATO GROSSO DO SUL;5444;39
MINAS GERAIS;5444;213
PARA;5444;6
PARAIBA;5444;14
PARANA;5444;81
PERNAMBUCO;5444;58
PIAUI;5444;46
RIO DE JANEIRO;5444;82
RIO GRANDE DO NORTE;5444;62
RIO GRANDE DO SUL;5444;52
RONDONIA;5444;11
RORAIMA;5444;2
SANTA CATARINA;5444;182
SAO PAULO;5444;999
SERGIPE;5444;4
TOCANTINS;5444;4
ACRE;5452;399
ALAGOAS;5452;584
AMAZONAS;5452;1054
AMAPA;5452;122
BAHIA;5452;3937
CEARA;5452;4819
DISTRITO FEDERAL;5452;13518
ESPIRITO SANTO;5452;1540
GOIAS;5452;20773
MARANHAO;5452;841
MATO GROSSO;5452;978
MATO GROSSO DO SUL;5452;638
MINAS GERAIS;5452;5333
PARA;5452;1302
PARAIBA;5452;1567
PARANA;5452;4003
PERNAMBUCO;5452;2294
PIAUI;5452;491
RIO DE JANEIRO;5452;7535
RIO GRANDE DO NORTE;5452;1442
RIO GRANDE DO SUL;5452;1330
RONDONIA;5452;160
RORAIMA;5452;90
SANTA CATARINA;5452;1726
SAO PAULO;5452;16450
