UF;Cod_Infracao;Quantidade
ACRE;5002;14
ALAGOAS;5002;68
AMAZONAS;5002;110
AMAPA;5002;6
BAHIA;5002;249
CEARA;5002;65
DISTRITO FEDERAL;5002;171
ESPIRITO SANTO;5002;404
GOIAS;5002;452
MARANHAO;5002;46
MATO GROSSO;5002;258
MATO GROSSO DO SUL;5002;2583
MINAS GERAIS;5002;22350
PARA;5002;71
PARAIBA;5002;15
PARANA;5002;22244
PERNAMBUCO;5002;133
PIAUI;5002;11
RIO DE JANEIRO;5002;1014
RIO GRANDE DO NORTE;5002;28
RIO GRANDE DO SUL;5002;5746
RONDONIA;5002;54
RORAIMA;5002;6
SANTA CATARINA;5002;11508
SAO PAULO;5002;53423
SERGIPE;5002;31
TOCANTINS;5002;41
ACRE;5010;248
ALAGOAS;5010;265
AMAZONAS;5010;419
AMAPA;5010;256
BAHIA;5010;1763
CEARA;5010;739
DISTRITO FEDERAL;5010;1541
ESPIRITO SANTO;5010;659
GOIAS;5010;4147
MARANHAO;5010;525
MATO GROSSO;5010;2022
MATO GROSSO DO SUL;5010;891
MINAS GERAIS;5010;10730
PARA;5010;814
PARAIBA;5010;274
PARANA;5010;2586
PERNAMBUCO;5010;1793
PIAUI;5010;261
RIO DE JANEIRO;5010;3876
RIO GRANDE DO NORTE;5010;727
RIO GRANDE DO SUL;5010;2035
RONDONIA;5010;663
RORAIMA;5010;44
SANTA CATARINA;5010;2376
SAO PAULO;5010;10647
SERGIPE;5010;342
TOCANTINS;5010;165
ACRE;5029;1
ALAGOAS;5029;2
AMAZONAS;5029;5
AMAPA;5029;1
BAHIA;5029;9
CEARA;5029;1
DISTRITO FEDERAL;5029;34
ESPIRITO SANTO;5029;58
GOIAS;5029;26
MATO GROSSO;5029;11
MATO GROSSO DO SUL;5029;43
MINAS GERAIS;5029;348
PARA;5029;4
PARAIBA;5029;11
PARANA;5029;148
PERNAMBUCO;5029;34
PIAUI;5029;2
RIO DE JANEIRO;5029;203
RIO GRANDE DO NORTE;5029;5
RIO GRANDE DO SUL;5029;213
RONDONIA;5029;11
SANTA CATARINA;5029;524
SAO PAULO;5029;595
SERGIPE;5029;2
TOCANTINS;5029;1
ACRE;5037;13
ALAGOAS;5037;13
AMAZONAS;5037;46
AMAPA;5037;11
BAHIA;5037;70
CEARA;5037;56
DISTRITO FEDERAL;5037;68
ESPIRITO SANTO;5037;33
GOIAS;5037;310
MARANHAO;5037;25
MATO GROSSO;5037;48
MATO GROSSO DO SUL;5037;42
MINAS GERAIS;5037;803
PARA;5037;21
PARAIBA;5037;7
PARANA;5037;164
PERNAMBUCO;5037;67
PIAUI;5037;14
RIO DE JANEIRO;5037;321
RIO GRANDE DO NORTE;5037;26
RIO GRANDE DO SUL;5037;381
RONDONIA;5037;20
RORAIMA;5037;3
SANTA CATARINA;5037;98
SAO PAULO;5037;719
SERGIPE;5037;24
TOCANTINS;5037;5
ACRE;5045;148
ALAGOAS;5045;32
AMAZONAS;5045;85
AMAPA;5045;64
BAHIA;5045;624
CEARA;5045;325
DISTRITO FEDERAL;5045;1088
ESPIRITO SANTO;5045;259
GOIAS;5045;1777
MARANHAO;5045;111
MATO GROSSO;5045;250
MATO GROSSO DO SUL;5045;356
MINAS GERAIS;5045;2435
PARA;5045;141
PARAIBA;5045;108
PARANA;5045;706
PERNAMBUCO;5045;650
PIAUI;5045;57
RIO DE JANEIRO;5045;770
RIO GRANDE DO NORTE;5045;153
RIO GRANDE DO SUL;5045;1208
RONDONIA;5045;217
RORAIMA;5045;17
SANTA CATARINA;5045;1208
SAO PAULO;5045;4875
SERGIPE;5045;97
TOCANTINS;5045;62
ACRE;5053;3
ALAGOAS;5053;5
AMAZONAS;5053;15
AMAPA;5053;3
BAHIA;5053;104
CEARA;5053;75
DISTRITO FEDERAL;5053;49
ESPIRITO SANTO;5053;12
GOIAS;5053;566
MARANHAO;5053;4
MATO GROSSO;5053;43
MATO GROSSO DO SUL;5053;20
MINAS GERAIS;5053;293
PARA;5053;29
PARAIBA;5053;23
PARANA;5053;50
PERNAMBUCO;5053;124
PIAUI;5053;18
RIO DE JANEIRO;5053;31
RIO GRANDE DO NORTE;5053;12
RIO GRANDE DO SUL;5053;47
RONDONIA;5053;14
RORAIMA;5053;3
SANTA CATARINA;5053;89
SAO PAULO;5053;258
SERGIPE;5053;8
TOCANTINS;5053;14
ACRE;5061;14
ALAGOAS;5061;12
AMAZONAS;5061;4
AMAPA;5061;1
BAHIA;5061;83
CEARA;5061;35
DISTRITO FEDERAL;5061;37
ESPIRITO SANTO;5061;20
GOIAS;5061;39
MARANHAO;5061;11
MATO GROSSO;5061;23
MATO GROSSO DO SUL;5061;28
MINAS GERAIS;5061;119
PARA;5061;19
PARAIBA;5061;6
PARANA;5061;58
PERNAMBUCO;5061;45
PIAUI;5061;3
RIO DE JANEIRO;5061;33
RIO GRANDE DO NORTE;5061;13
RIO GRANDE DO SUL;5061;48
RONDONIA;5061;21
SANTA CATARINA;5061;91
SAO PAULO;5061;372
SERGIPE;5061;6
TOCANTINS;5061;6
AMAZONAS;5070;1
BAHIA;5070;1
CEARA;5070;1
DISTRITO FEDERAL;5070;2
GOIAS;5070;1
MINAS GERAIS;5070;3
PARA;5070;1
PARAIBA;5070;1
PARANA;5070;10
PERNAMBUCO;5070;1
RIO DE JANEIRO;5070;2
RIO GRANDE DO SUL;5070;10
SANTA CATARINA;5070;11
SAO PAULO;5070;13
BAHIA;5088;8
CEARA;5088;3
DISTRITO FEDERAL;5088;1
ESPIRITO SANTO;5088;1
GOIAS;5088;1
MATO GROSSO;5088;3
MATO GROSSO DO SUL;5088;2
MINAS GERAIS;5088;4
PARANA;5088;9
RIO DE JANEIRO;5088;6
RIO GRANDE DO SUL;5088;14
RONDONIA;5088;1
SANTA CATARINA;5088;3
SAO PAULO;5088;12
SERGIPE;5088;1
ACRE;5096;5
AMAPA;5096;2
BAHIA;5096;23
CEARA;5096;23
DISTRITO FEDERAL;5096;14
ESPIRITO SANTO;5096;6
GOIAS;5096;9
MARANHAO;5096;1
MATO GROSSO;5096;2
MATO GROSSO DO SUL;5096;6
MINAS GERAIS;5096;25
PARA;5096;4
PARAIBA;5096;6
PARANA;5096;27
PERNAMBUCO;5096;6
PIAUI;5096;2
RIO DE JANEIRO;5096;8
RIO GRANDE DO NORTE;5096;3
RIO GRANDE DO SUL;5096;103
RONDONIA;5096;2
SANTA CATARINA;5096;50
SAO PAULO;5096;104
SERGIPE;5096;4
BAHIA;5100;2
CEARA;5100;7
MATO GROSSO;5100;2
PARAIBA;5100;1
PARANA;5100;1
RIO DE JANEIRO;5100;1
RIO GRANDE DO NORTE;5100;2
RIO GRANDE DO SUL;5100;1
SANTA CATARINA;5100;4
SAO PAULO;5100;4
ACRE;5118;123
ALAGOAS;5118;74
AMAZONAS;5118;45
AMAPA;5118;96
BAHIA;5118;354
CEARA;5118;424
DISTRITO FEDERAL;5118;76
ESPIRITO SANTO;5118;332
GOIAS;5118;80
MARANHAO;5118;53
MATO GROSSO;5118;65
MATO GROSSO DO SUL;5118;381
MINAS GERAIS;5118;1566
PARA;5118;191
PARAIBA;5118;73
PARANA;5118;1635
PERNAMBUCO;5118;451
PIAUI;5118;59
RIO DE JANEIRO;5118;632
RIO GRANDE DO NORTE;5118;85
RIO GRANDE DO SUL;5118;431
RONDONIA;5118;165
RORAIMA;5118;12
SANTA CATARINA;5118;1050
SAO PAULO;5118;2696
SERGIPE;5118;41
TOCANTINS;5118;16
ALAGOAS;5126;1
AMAPA;5126;1
BAHIA;5126;1
CEARA;5126;3
DISTRITO FEDERAL;5126;2
ESPIRITO SANTO;5126;18
GOIAS;5126;1
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;19
MINAS GERAIS;5126;52
PARAIBA;5126;1
PARANA;5126;63
PERNAMBUCO;5126;5
RIO DE JANEIRO;5126;13
RIO GRANDE DO NORTE;5126;2
RIO GRANDE DO SUL;5126;35
RONDONIA;5126;5
SANTA CATARINA;5126;132
SAO PAULO;5126;117
ACRE;5134;4
ALAGOAS;5134;2
AMAZONAS;5134;4
AMAPA;5134;3
BAHIA;5134;17
CEARA;5134;24
DISTRITO FEDERAL;5134;7
ESPIRITO SANTO;5134;11
GOIAS;5134;6
MARANHAO;5134;4
MATO GROSSO;5134;5
MATO GROSSO DO SUL;5134;13
MINAS GERAIS;5134;108
PARA;5134;4
PARAIBA;5134;2
PARANA;5134;48
PERNAMBUCO;5134;14
PIAUI;5134;4
RIO DE JANEIRO;5134;43
RIO GRANDE DO NORTE;5134;8
RIO GRANDE DO SUL;5134;40
RONDONIA;5134;6
SANTA CATARINA;5134;44
SAO PAULO;5134;149
SERGIPE;5134;5
ACRE;5142;21
ALAGOAS;5142;4
AMAZONAS;5142;6
AMAPA;5142;8
BAHIA;5142;120
CEARA;5142;175
DISTRITO FEDERAL;5142;39
ESPIRITO SANTO;5142;81
GOIAS;5142;31
MARANHAO;5142;6
MATO GROSSO;5142;8
MATO GROSSO DO SUL;5142;85
MINAS GERAIS;5142;315
PARA;5142;17
PARAIBA;5142;22
PARANA;5142;205
PERNAMBUCO;5142;48
PIAUI;5142;10
