UF;Cod_Infracao;Quantidade
ACRE;5002;64
ALAGOAS;5002;57
AMAZONAS;5002;14137
AMAPA;5002;35
BAHIA;5002;356
CEARA;5002;141
DISTRITO FEDERAL;5002;216
ESPIRITO SANTO;5002;502
GOIAS;5002;853
MARANHAO;5002;90
MATO GROSSO;5002;390
MATO GROSSO DO SUL;5002;2631
MINAS GERAIS;5002;24595
PARA;5002;496
PARAIBA;5002;34
PARANA;5002;26034
PERNAMBUCO;5002;276
PIAUI;5002;27
RIO DE JANEIRO;5002;1498
RIO GRANDE DO NORTE;5002;94
RIO GRANDE DO SUL;5002;6561
RONDONIA;5002;326
RORAIMA;5002;726
SANTA CATARINA;5002;11896
SAO PAULO;5002;78684
SERGIPE;5002;62
TOCANTINS;5002;58
ACRE;5010;586
ALAGOAS;5010;583
AMAZONAS;5010;617
AMAPA;5010;457
BAHIA;5010;2910
CEARA;5010;1954
DISTRITO FEDERAL;5010;1719
ESPIRITO SANTO;5010;689
GOIAS;5010;3084
MARANHAO;5010;3054
MATO GROSSO;5010;1903
MATO GROSSO DO SUL;5010;1198
MINAS GERAIS;5010;11300
PARA;5010;1828
PARAIBA;5010;932
PARANA;5010;3372
PERNAMBUCO;5010;1323
PIAUI;5010;653
RIO DE JANEIRO;5010;3180
RIO GRANDE DO NORTE;5010;941
RIO GRANDE DO SUL;5010;2282
RONDONIA;5010;1114
RORAIMA;5010;87
SANTA CATARINA;5010;3020
SAO PAULO;5010;14500
SERGIPE;5010;432
TOCANTINS;5010;260
ACRE;5029;7
ALAGOAS;5029;8
AMAZONAS;5029;6
AMAPA;5029;1
BAHIA;5029;5
CEARA;5029;8
DISTRITO FEDERAL;5029;30
ESPIRITO SANTO;5029;71
GOIAS;5029;15
MARANHAO;5029;5
MATO GROSSO;5029;12
MATO GROSSO DO SUL;5029;73
MINAS GERAIS;5029;291
PARA;5029;8
PARAIBA;5029;13
PARANA;5029;377
PERNAMBUCO;5029;25
RIO DE JANEIRO;5029;166
RIO GRANDE DO NORTE;5029;3
RIO GRANDE DO SUL;5029;292
RONDONIA;5029;12
RORAIMA;5029;1
SANTA CATARINA;5029;770
SAO PAULO;5029;572
SERGIPE;5029;4
ACRE;5037;22
ALAGOAS;5037;29
AMAZONAS;5037;59
AMAPA;5037;28
BAHIA;5037;125
CEARA;5037;114
DISTRITO FEDERAL;5037;92
ESPIRITO SANTO;5037;36
GOIAS;5037;135
MARANHAO;5037;90
MATO GROSSO;5037;61
MATO GROSSO DO SUL;5037;58
MINAS GERAIS;5037;786
PARA;5037;36
PARAIBA;5037;24
PARANA;5037;176
PERNAMBUCO;5037;71
PIAUI;5037;33
RIO DE JANEIRO;5037;250
RIO GRANDE DO NORTE;5037;28
RIO GRANDE DO SUL;5037;439
RONDONIA;5037;28
RORAIMA;5037;2
SANTA CATARINA;5037;108
SAO PAULO;5037;947
SERGIPE;5037;15
TOCANTINS;5037;8
ACRE;5045;404
ALAGOAS;5045;68
AMAZONAS;5045;140
AMAPA;5045;196
BAHIA;5045;1022
CEARA;5045;714
DISTRITO FEDERAL;5045;912
ESPIRITO SANTO;5045;312
GOIAS;5045;917
MARANHAO;5045;454
MATO GROSSO;5045;346
MATO GROSSO DO SUL;5045;518
MINAS GERAIS;5045;2581
PARA;5045;341
PARAIBA;5045;201
PARANA;5045;907
PERNAMBUCO;5045;433
PIAUI;5045;133
RIO DE JANEIRO;5045;1063
RIO GRANDE DO NORTE;5045;238
RIO GRANDE DO SUL;5045;1479
RONDONIA;5045;314
RORAIMA;5045;26
SANTA CATARINA;5045;1491
SAO PAULO;5045;6874
SERGIPE;5045;171
TOCANTINS;5045;113
ACRE;5053;6
ALAGOAS;5053;19
AMAZONAS;5053;12
AMAPA;5053;7
BAHIA;5053;156
CEARA;5053;296
DISTRITO FEDERAL;5053;20
ESPIRITO SANTO;5053;20
GOIAS;5053;127
MARANHAO;5053;4
MATO GROSSO;5053;34
MATO GROSSO DO SUL;5053;28
MINAS GERAIS;5053;255
PARA;5053;66
PARAIBA;5053;43
PARANA;5053;82
PERNAMBUCO;5053;78
PIAUI;5053;21
RIO DE JANEIRO;5053;42
RIO GRANDE DO NORTE;5053;32
RIO GRANDE DO SUL;5053;98
RONDONIA;5053;18
RORAIMA;5053;4
SANTA CATARINA;5053;130
SAO PAULO;5053;265
SERGIPE;5053;16
TOCANTINS;5053;6
ACRE;5061;15
ALAGOAS;5061;22
AMAZONAS;5061;10
AMAPA;5061;2
BAHIA;5061;160
CEARA;5061;67
DISTRITO FEDERAL;5061;77
ESPIRITO SANTO;5061;23
GOIAS;5061;50
MARANHAO;5061;48
MATO GROSSO;5061;32
MATO GROSSO DO SUL;5061;29
MINAS GERAIS;5061;135
PARA;5061;27
PARAIBA;5061;34
PARANA;5061;88
PERNAMBUCO;5061;38
PIAUI;5061;4
RIO DE JANEIRO;5061;58
RIO GRANDE DO NORTE;5061;19
RIO GRANDE DO SUL;5061;61
RONDONIA;5061;29
RORAIMA;5061;2
SANTA CATARINA;5061;117
SAO PAULO;5061;467
SERGIPE;5061;12
TOCANTINS;5061;6
CEARA;5070;3
ESPIRITO SANTO;5070;1
MATO GROSSO;5070;1
MATO GROSSO DO SUL;5070;3
MINAS GERAIS;5070;7
PARA;5070;1
PARAIBA;5070;1
PARANA;5070;25
PERNAMBUCO;5070;1
PIAUI;5070;2
RIO DE JANEIRO;5070;2
RIO GRANDE DO SUL;5070;20
SANTA CATARINA;5070;19
SAO PAULO;5070;18
ACRE;5088;1
AMAPA;5088;1
BAHIA;5088;6
CEARA;5088;10
GOIAS;5088;1
MARANHAO;5088;3
MATO GROSSO;5088;6
MATO GROSSO DO SUL;5088;3
MINAS GERAIS;5088;5
PARAIBA;5088;1
PARANA;5088;6
PERNAMBUCO;5088;1
PIAUI;5088;4
RIO DE JANEIRO;5088;3
RIO GRANDE DO NORTE;5088;3
RIO GRANDE DO SUL;5088;15
RONDONIA;5088;1
SANTA CATARINA;5088;5
SAO PAULO;5088;27
ACRE;5096;3
ALAGOAS;5096;1
AMAZONAS;5096;1
AMAPA;5096;3
BAHIA;5096;21
CEARA;5096;62
DISTRITO FEDERAL;5096;12
ESPIRITO SANTO;5096;5
GOIAS;5096;9
MARANHAO;5096;5
MATO GROSSO;5096;7
MATO GROSSO DO SUL;5096;9
MINAS GERAIS;5096;20
PARA;5096;7
PARAIBA;5096;7
PARANA;5096;37
PERNAMBUCO;5096;10
PIAUI;5096;6
RIO DE JANEIRO;5096;16
RIO GRANDE DO NORTE;5096;7
RIO GRANDE DO SUL;5096;113
RONDONIA;5096;4
SANTA CATARINA;5096;48
SAO PAULO;5096;141
SERGIPE;5096;2
TOCANTINS;5096;4
BAHIA;5100;3
CEARA;5100;32
DISTRITO FEDERAL;5100;1
ESPIRITO SANTO;5100;1
GOIAS;5100;2
MATO GROSSO DO SUL;5100;1
MINAS GERAIS;5100;4
PARA;5100;1
PERNAMBUCO;5100;1
RIO GRANDE DO NORTE;5100;2
RIO GRANDE DO SUL;5100;2
SANTA CATARINA;5100;3
SAO PAULO;5100;6
ACRE;5118;285
ALAGOAS;5118;120
AMAZONAS;5118;138
AMAPA;5118;167
BAHIA;5118;625
CEARA;5118;1318
DISTRITO FEDERAL;5118;136
ESPIRITO SANTO;5118;301
GOIAS;5118;121
MARANHAO;5118;123
MATO GROSSO;5118;129
MATO GROSSO DO SUL;5118;449
MINAS GERAIS;5118;1551
PARA;5118;464
PARAIBA;5118;245
PARANA;5118;2069
PERNAMBUCO;5118;368
PIAUI;5118;128
RIO DE JANEIRO;5118;577
RIO GRANDE DO NORTE;5118;135
RIO GRANDE DO SUL;5118;669
RONDONIA;5118;321
RORAIMA;5118;27
SANTA CATARINA;5118;1413
SAO PAULO;5118;3383
SERGIPE;5118;95
TOCANTINS;5118;38
AMAZONAS;5126;1
AMAPA;5126;1
BAHIA;5126;2
CEARA;5126;7
DISTRITO FEDERAL;5126;2
ESPIRITO SANTO;5126;27
GOIAS;5126;3
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;18
MINAS GERAIS;5126;45
PARA;5126;2
PARAIBA;5126;3
PARANA;5126;118
PERNAMBUCO;5126;5
PIAUI;5126;1
RIO DE JANEIRO;5126;15
RIO GRANDE DO NORTE;5126;1
RIO GRANDE DO SUL;5126;50
RONDONIA;5126;3
SANTA CATARINA;5126;178
SAO PAULO;5126;115
ACRE;5134;7
ALAGOAS;5134;9
AMAZONAS;5134;4
AMAPA;5134;7
BAHIA;5134;25
CEARA;5134;68
DISTRITO FEDERAL;5134;8
ESPIRITO SANTO;5134;15
GOIAS;5134;16
MARANHAO;5134;6
MATO GROSSO;5134;7
MATO GROSSO DO SUL;5134;14
MINAS GERAIS;5134;88
PARA;5134;12
PARAIBA;5134;3
PARANA;5134;59
PERNAMBUCO;5134;25
PIAUI;5134;10
RIO DE JANEIRO;5134;39
RIO GRANDE DO NORTE;5134;6
RIO GRANDE DO SUL;5134;81
RONDONIA;5134;4
RORAIMA;5134;1
SANTA CATARINA;5134;42
SAO PAULO;5134;187
SERGIPE;5134;3
TOCANTINS;5134;1
ACRE;5142;81
ALAGOAS;5142;11
AMAZONAS;5142;10
AMAPA;5142;47
BAHIA;5142;223
CEARA;5142;379
DISTRITO FEDERAL;5142;46
ESPIRITO SANTO;5142;74
GOIAS;5142;56
MARANHAO;5142;23
MATO GROSSO;5142;18
